Solver,Puzzle Set,Puzzle Number,Time (s),Clauses
ConstraintPathSolver,7x7,147,1142664833,0
ConstraintPathSolver,7x7,148,2293181459,0
ConstraintPathSolver,7x7,149,1403852708,0
ConstraintPathSolver,7x7,150,2554443458,0
ConstraintPathSolver,7x7,151,1003869958,0
ConstraintPathSolver,7x7,152,5491246375,0
ConstraintPathSolver,7x7,153,1688074667,0
ConstraintPathSolver,7x7,154,2319062583,0
ConstraintPathSolver,7x7,155,1528564167,0
ConstraintPathSolver,7x7,156,1152329333,0
ConstraintPathSolver,7x7,157,1339397584,0
ConstraintPathSolver,7x7,158,1921323917,0
ConstraintPathSolver,7x7,159,1503553292,0
ConstraintPathSolver,7x7,160,1505676792,0
ConstraintPathSolver,7x7,161,1470088667,0
ConstraintPathSolver,7x7,162,1236391541,0
ConstraintPathSolver,7x7,163,1416434625,0
ConstraintPathSolver,7x7,164,1351171792,0
ConstraintPathSolver,7x7,165,1477602959,0
ConstraintPathSolver,7x7,166,1181350500,0
ConstraintPathSolver,7x7,167,1528099500,0
ConstraintPathSolver,7x7,168,986675042,0
ConstraintPathSolver,7x7,169,1579145958,0
ConstraintPathSolver,7x7,170,1420951792,0
ConstraintPathSolver,7x7,171,1651925875,0
ConstraintPathSolver,7x7,172,2520409000,0
ConstraintPathSolver,7x7,173,2006870084,0
ConstraintPathSolver,7x7,174,2105013084,0
ConstraintPathSolver,7x7,175,2014469750,0
ConstraintPathSolver,7x7,176,2664447958,0
ConstraintPathSolver,7x7,177,2028943000,0
ConstraintPathSolver,7x7,178,1977658958,0
ConstraintPathSolver,7x7,179,1434380500,0
ConstraintPathSolver,7x7,180,2491512125,0
ConstraintPathSolver,7x7,181,1901704125,0
ConstraintPathSolver,7x7,182,1391407917,0
ConstraintPathSolver,7x7,183,2378246292,0
ConstraintPathSolver,7x7,184,2497077250,0
ConstraintPathSolver,7x7,185,960630834,0
ConstraintPathSolver,7x7,186,1840619750,0
ConstraintPathSolver,7x7,187,4112737416,0
ConstraintPathSolver,7x7,188,1536292584,0
ConstraintPathSolver,7x7,189,2693809667,0
ConstraintPathSolver,7x7,190,1323522833,0
